X,Y,Z,SAMPLE_ID,SAMPLE_FIE,SAMPLE_DAT,LAT_DEG,LONG_DEG,YEAR_CONST,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE,As,Al,B_,Ba,Ca,Co,Cr,Cu,Fe,K_,Li,Mg,Mn,Na,P_,Si,SO4,Sr,V_,Zn
272690.424588447,2531180.95360179,0,S98_00701,"RIP3491, BTS101",06/03/1998,22.873100000000001,90.784400000000005,"1992",Shallow HP TW,10.699999999999999,Chittagong,Lakshmipur,Lakshmipur Sadar,Shakchar,Char Ramani Mohan,2514385190,"13",< 0.04,"0.27","0.096","49.6",< 0.008,< 0.02,< 0.008,"1.17","11.1",< 0.003,"32.7","0.624",211.000000000000000,"0.7","12.2","1.2","0.304",< 0.006,"0.049"
282592.049422311,2547241.70415667,0,S98_00718,"RIP3492, BTS118",08/03/1998,23.019400000000001,90.878600000000006,"1971",Shallow HP TW,12.199999999999999,Chittagong,Lakshmipur,Lakshmipur Sadar,Baksipur,Nandigram,2514310666,"256",< 0.04,"0.04","0.01","56.9",< 0.008,< 0.02,< 0.008,"1.74","6.9",< 0.003,"29.9","0.447",7.900000000000000,"1.2","13.9",< 0.2,"0.246",< 0.006,"0.031"
290822.108444954,2541098.84893868,0,S98_00724,"RIP3493, BTS124",10/03/1998,22.965000000000000,90.959699999999998,"1995",Private HP TW,12.199999999999999,Chittagong,Lakshmipur,Lakshmipur Sadar,Uttar Joypur,Chandra Prabhabag,2514395147,"38",< 0.04,"0.26","0.013","16.6",< 0.008,< 0.02,< 0.008,"0.317","7.1","0.003","15.7","0.231",205.000000000000000,"0.6","13.8","1.5","0.108",< 0.006,"0.021"
292269.016663691,2536681.29659209,0,S98_00727,"RIP3498, BTS127",10/03/1998,22.925300000000000,90.974400000000003,"1997",Private HP TW,262.100000000000023,Chittagong,Lakshmipur,Lakshmipur Sadar,Chandraganj,Ganipur,2514320346,"8",< 0.04,"0.03","0.383","111",< 0.008,< 0.02,< 0.008,"9.46","6.9","0.018","75.8","0.294",201.000000000000000,"0.3","27.2","4.9","0.873",< 0.006,"0.067"
288359.791466294,2530089.43642876,0,S98_00733,"RIP3494, BTS133",11/03/1998,22.865300000000001,90.937200000000004,"1993",Private HP TW,7.900000000000000,Chittagong,Lakshmipur,Lakshmipur Sadar,Kushakhali,Madna,2514355579,< 6,"0.07","0.82","0.073","81",< 0.008,< 0.02,< 0.008,"0.59","30.2","0.012","124","1.17",1090.000000000000000,"0.5","10.3","265","0.797","0.009","0.054"
285117.060317276,2528717.28525965,0,S98_00734,"RIP3499, BTS134",11/03/1998,22.852499999999999,90.905799999999999,"1990",Village HP TW,182.900000000000006,Chittagong,Lakshmipur,Lakshmipur Sadar,Kushakhali,Farasganj,2514355315,< 6,< 0.04,"0.05","0.069","27.9",< 0.008,< 0.02,< 0.008,"0.716","6","0.006","16.9","0.051",43.799999999999997,"0.2","21.4",< 0.2,"0.216",< 0.006,< 0.008
280853.903178485,2529243.68337556,0,S98_00736,"RIP3495, BTS136",11/03/1998,22.856700000000000,90.864199999999997,"1991",Unicef/DPHE HP TW,7.900000000000000,Chittagong,Lakshmipur,Lakshmipur Sadar,Bhabaniganj,Char Monasa,2514315181,"15",< 0.04,"0.25","0.014","28.3",< 0.008,< 0.02,< 0.008,"0.154","12.4",< 0.003,"22.4","0.295",203.000000000000000,"0.3","10.5","6.9","0.176",< 0.006,"0.012"
271999.063235975,2537738.58927473,0,S98_00749,"RIP3496, BTS149",14/03/1998,22.932200000000002,90.776700000000005,"1994",Private HP TW,7.900000000000000,Chittagong,Lakshmipur,Lakshmipur Sadar,Char Ruhita,Char Ruhita,2514330194,"65",< 0.04,"0.16","0.052","81.1",< 0.008,< 0.02,< 0.008,"3.12","11.9",< 0.003,"67.2","1.79",60.700000000000003,"0.5","11.6","17.9","0.444",< 0.006,< 0.008
277409.408837773,2537934.66356905,0,S98_00752,"RIP3500, BTS152",14/03/1998,22.934699999999999,90.829400000000007,"1992","Urban supply well, DPTW1",318.000000000000000,Chittagong,Lakshmipur,Lakshmipur Sadar,Lakshmipur Paurashava,,2514357,< 6,< 0.04,"0.04","0.068","24",< 0.008,< 0.02,< 0.008,"1.19","3.7","0.004","16.9","0.076",32.299999999999997,"0.3","27.2",< 0.2,"0.209",< 0.006,< 0.008
281010.546851443,2538624.10582493,0,S98_00756,"RIP3497, BTS156",15/03/1998,22.941400000000002,90.864400000000003,"1991",Private HP TW,14.000000000000000,Chittagong,Lakshmipur,Lakshmipur Sadar,Laharkandi,Athiatali,251436056,"142",< 0.04,"0.08","0.011","22",< 0.008,< 0.02,< 0.008,"3.92","4.6","0.004","18.6","1.29",48.600000000000001,"0.4","15.5","0.8","0.13",< 0.006,"0.352"
172222.739603922,2606204.50898453,0,S98_00777,"RIP1961, BTS211",07/03/1998,23.533100000000001,89.790000000000006,"1994",Private HP TW,26.199999999999999,Dhaka,Faridpur,Faridpur Sadar,Kanaipur,Solakunda,3294763931,"41",< 0.04,"0.02","0.155","115",< 0.008,< 0.02,< 0.008,"5.69","3.9",< 0.003,"23.2","0.754",13.100000000000000,"1.4","14.1",< 0.2,"0.293",< 0.006,"0.016"
180145.71582996,2606206.63182482,0,S98_00781,"RIP1962, BTS215",08/03/1998,23.534700000000001,89.867500000000007,"1995",Private HP TW,32.000000000000000,Dhaka,Faridpur,Faridpur Sadar,Greda,Jayar,3294739532,"162",< 0.04,"0.05","0.081","49.2",< 0.008,< 0.02,< 0.008,"3.37","6.1",< 0.003,"37","0.041",14.000000000000000,"2.1","17.1",< 0.2,"0.26",< 0.006,< 0.008
181256.554844851,2613078.70360012,0,S98_00784,"RIP1963, BTS218",08/03/1998,23.596900000000002,89.876900000000006,"1968",Private HP TW,20.100000000000001,Dhaka,Faridpur,Faridpur Sadar,Aliabad,Bhajandanga,329477120,"57",< 0.04,"0.02","0.136","129",< 0.008,< 0.02,< 0.008,"2.21","3.9",< 0.003,"25.9","1.26",9.600000000000000,"0.3","14.1","0.4","0.428",< 0.006,< 0.008
169874.771466037,2620361.92733424,0,S98_00791,"RIP1964, BTS224",09/03/1998,23.660299999999999,89.763900000000007,"1978",Private HP TW,28.000000000000000,Dhaka,Faridpur,Faridpur Sadar,Ishan Gopalpur,Durgapur,3294747367,"245",< 0.04,"0.03","0.168","125",< 0.008,< 0.02,< 0.008,"5.97","5.2",< 0.003,"28.4","2.86",14.400000000000000,"0.6","11.8",< 0.2,"0.45",< 0.006,"0.014"
